PWN,ILI,POS,Tree File,Gap,DeepL Direct,DeepL Contextualized,Translated Wordnet,Lemmas,Translated Wordnet Gloss,Gloss,Hypernyms,Hyponyms
omw-en31-11898752-n,i99676,n,omw-en31-11889283-n,mustard,гірчиця,гірчиця,гірчиця,mustard,будь-яка з декількох хрестоцвітних рослин роду Brassica,any of several cruciferous plants of the genus Brassica,"crucifer, cruciferous plant","chinese mustard, indian mustard, leaf mustard, gai choi, Brassica juncea; black mustard, Brassica nigra; rape, colza, Brassica napus; white mustard, Brassica hirta, Sinapis alba; field mustard, wild mustard, charlock, chadlock, Brassica kaber, Sinapis arvensis"
omw-en31-02130460-n,i46635,n,omw-en31-02123649-n,big cat,великий кіт,велика кішка,"кішка, кіт, великий кіт, велика кішка","big cat, cat","будь-яка з декількох великих кішок, як правило, здатна ревіти і жити в дикій природі",any of several large cats typically able to roar and living in the wild,"feline, felid","leopard, Panthera pardus; snow leopard, ounce, Panthera uncia; jaguar, panther, Panthera onca, Felis onca; lion, king of beasts, Panthera leo; tiger, Panthera tigris; liger; tiglon, tigon; cheetah, chetah, Acinonyx jubatus; saber-toothed tiger, sabertooth"
omw-en31-10184702-n,i90444,n,omw-en31-10499838-n,health professional,медичний працівник,медичний працівник,"опікун, вихователь, медичний працівник, постачальник первинної медичної допомоги","health professional, primary care provider, PCP, health care provider, caregiver","особа, яка допомагає у виявленні, запобіганні або лікуванні хвороби або інвалідності",a person who helps in identifying or preventing or treating illness or disability,"professional, professional person","bonesetter; electrologist; medical assistant; medical practitioner, medical man; nurse; pharmacist, druggist, chemist, apothecary, pill pusher, pill roller"
omw-en31-10325469-n,i91292,n,omw-en31-10499838-n,medical practitioner,лікар,лікар,"лікар, людина -медик, Людина-медик","medical practitioner, medical man","той, хто практикує медицину",someone who practices medicine,"health professional, primary care provider, PCP, health care provider, caregiver","dentist, tooth doctor, dental practitioner; doctor, doc, physician, MD, Dr., medico; inoculator, vaccinator; medical officer, medic; Hippocrates"
omw-en31-10651974-n,i93187,n,omw-en31-10499838-n,specialist,фахівець,спеціаліст,"спеціаліст, медичний спеціаліст","specialist, medical specialist",практикує одну галузь медицини,practices one branch of medicine,"doctor, doc, physician, MD, Dr., medico","anesthesiologist, anesthetist, anaesthetist; baby doctor, pediatrician, pediatrist, paediatrician; cardiologist, heart specialist, heart surgeon; chiropodist, foot doctor, podiatrist; dermatologist, skin doctor; diagnostician, pathologist; diplomate; ear doctor, ear specialist, otologist; embryologist; endocrinologist; ENT man, ear-nose-and-throat doctor, otolaryngologist, otorhinolaryngologist, rhinolaryngologist; gerontologist, geriatrician; gynecologist, gynaecologist, woman's doctor; hematologist, haematologist; hygienist; internist; neurologist, brain doctor; obstetrician, accoucheur; oncologist; ophthalmologist, eye doctor, oculist; orthopedist, orthopaedist; orthoptist; proctologist; psychiatrist, head-shrinker, shrink; radiographer; radiologist, radiotherapist; rheumatologist; urologist"
omw-en31-10507601-n,i92322,n,omw-en31-10499838-n,psychiatrist,психіатр,психіатр,"головоломка, психіатр, голова-усадка, усадка","psychiatrist, head-shrinker, shrink","лікар, який спеціалізується на психіатрії",a physician who specializes in psychiatry,"specialist, medical specialist","alienist; analyst, psychoanalyst; Horney, Karen Horney, Karen Danielsen Horney; Jaspers, Karl Jaspers, Karl Theodor Jaspers; Menninger, Charles Menninger, Charles Frederick Menninger; Menninger, Karl Menninger, Karl Augustus Menninger; Menninger, William Menninger, William Claire Menninger; Sullivan, Harry Stack Sullivan"
omw-en31-09809719-n,i88195,n,omw-en31-10499838-n,analyst,аналітик,аналітик,"аналітик, психоаналітик, психоаналітика","analyst, psychoanalyst",ліцензований практик психоаналізу,a licensed practitioner of psychoanalysis,"psychiatrist, head-shrinker, shrink","Freud, Sigmund Freud; Klein, Melanie Klein; Reich, Wilhelm Reich"
omw-en31-08311617-n,i80732,n,omw-en31-08310903-n,world organization,всесвітня організація,всесвітня організація,Міжнародна організація,"world organization, world organisation, international organization, international organisation, global organization","міжнародний альянс, що включає багато різних країн",an international alliance involving many different countries,"alliance, coalition, alignment, alinement","Arab League; European Union, EU, European Community, EC, European Economic Community, EEC, Common Market, Europe; North Atlantic Treaty Organization, NATO; Organization for the Prohibition of Chemical Weapons, OPCW; Organization of American States, OAS; Organization of Petroleum-Exporting Countries, OPEC; League of Nations; community; Commonwealth of Independent States, CIS; United Nations, UN; commonwealth; World Trade Organization, WTO"
omw-en31-01706210-n,i44262,n,omw-en31-01703111-n,ceratopsian,цератопсис,цератопсис,"рогатий динозавр, цератопс, цератопсіан","ceratopsian, horned dinosaur",будь-який з декількох чотириногих травоїдних динозаврів з величезними дзьобами черепів,any of several four-footed herbivorous dinosaurs with enormous beaked skulls; of the late Cretaceous in North America and Mongolia,"ornithischian, ornithischian dinosaur","protoceratops; triceratops; styracosaur, styracosaurus; psittacosaur, psittacosaurus"
omw-en31-07655812-n,i77033,n,omw-en31-07644479-n,pancake,млинці,млинець,"млинець, гарячий пиріг","pancake, battercake, flannel cake, flannel-cake, flapcake, flapjack, griddlecake, hotcake, hot cake","плоский торт з тонкого тіста, обсмаженого з обох сторін на грилі",a flat cake of thin batter fried on both sides on a griddle,cake,"buckwheat cake; buttermilk pancake; blini, bliny; blintz, blintze; crape, crepe, French pancake; pfannkuchen, german pancake; potato pancake, latke; tortilla"
omw-en31-11519684-n,i98023,n,omw-en31-11472635-n,radiation,випромінювання,випромінювання,випромінювання,radiation,"енергія, що випромінюється або передається у вигляді променів або хвиль або частинок",energy that is radiated or transmitted in the form of rays or waves or particles,"energy, free energy","ionizing radiation; cosmic radiation; electromagnetic radiation, electromagnetic wave, nonparticulate radiation; solar radiation"
